05253a97585f				1997
05258b6a22e6	Dave (.pl)			
0527cb0f5905	!Cube			
052d168525fb	Vivid			
0530e15d3379	Paul Tankard	Hi-Tec Software	Potsworth & Co.	
053390308efe	Lord			
0537b312c43c	Dave (.pl)			
053c323788a6	Toodeloo			
05401acfb16b		Disk Busters Association	DBA Magazine #10	
0540343b2aca	Xtream			
054493928390	Roz			
0547ce1c8828	Michael Bialas	Hudson Soft	Yo! Joe!	
055861bf017d	Tommy			
055bbd15d8c4				1995
056594691cda		Falk'Asso	Falk'Mag Issue 08	
056ca23bf524				2000
0570f22cb9b9	Raster (.pl)			
0579d985fc49	Sad	Sad	Turn off the light	
0581e17ac887				2020
058b1eb074d9	Factor 6			
059325fa77e2	AiO			
05a0df7807d2	Christopher Denman	Impressions	Feudal Lords	
05a4320f1f58	Radium	Kuba	Club Culture Mix Pack #04	
05a4aa84161a	Xtream	Pascal Ognibene	Tecknoball	
05a92037e774	Ralph			
05a96b14c623	Sir Bart			
05ace509ed0c	High Flyer	Passion	Farewell demo	
05be9075e15c	D.D			
05ce5bb5b084		Oxygene	ATARI Demo ToolChain	
05d017912f0f	Clawz			
05d022957135	Ripguy			
05d5d5a2d74d	Matthias Steinwachs	Thalion	No Second prize	
05d7d8c56c0f	Babydee			
05d9d1f58abd	Blue Tiger			
05dfa7d372b6	Roz			
05e77e379006	Toodeloo			
05ed855322cb	Cerror			
05eec35ee399	Front 6			
05f052f193a8	William Hensel	Zeppelin Games	Graeme Souness Soccer Manager	
05f2a6e9662f		Oxygene	ATARI Demo ToolChain	
0600852c5589	Dave (.pl)			
0601a9299993	Gash	The Source	Peeks & Pokes 2	
06054f05decb	Dave (.pl)			
06081049a09d	505			
060c61e2ea11	Cerror			
060d180cda29	Dasse			
060dabba3977	Jon			
060e3626e58b	Bartman			
06188b5fc97b	Domm	Animal Mine	Great Stuff Compilation #50 Intro	
062af4317ec5	Nightlight	Poltergeist	Poltergeist demo	
063257a15cf3	Mantra			
0635d545119a	Bartman			
0647ae527c34	Cedyn			
0660c7a40fb5	STAX			
06626fa3ea08	Djamm			
06638b5f68ff	MC Slack	Gremlin Graphics	Team Suzuki	
0668cb57b6d8				2004
066d6ef28f07	Timbral			
0672f2bfa584	Dbug			
0674e019f5c9			TCB Tracker Conversions	
067cec1ad4ef	Raster (.pl)			
067dfcda86c2	Teque			
0685d926b202	Domm	Aura	...weil sonst Gülle am Bach	
0694d27c59f7	Babydee			
06972b57a83e	Corni			
06a45cf4e8ae	OZ			
06a5566675dd	Gozer	STAX	Compact Disk #65 intro	
06b185b632cf	AiO			
06b1d47e9a3f	Oedipus			
06b23dd4efd1	Acid	The Blues Boys	TBB Stuff Disc #08 intro	
06ba8abad35e	Badsnail			
06bc3ae65f22	Cedyn			
06be521a6ec8	Raiden~Seabrush	Addict~Haujobb	Mindgate	
06c0ab12d3ec	Blue Tiger			
